Cohort,Settlement.Date,Family,Facility,Tank,TaskID,Inventory.Date,Age.Month,Total.Animals,Mean.Size
2019,7/3/2019,OR65 X GR08,MCR,B08,Inventory_3,4/24/2020,9,219,7.787
2019,7/3/2019,OR96 X GR05,MCR,B09,Inventory_3,4/24/2020,9,83,12.9
2019,7/3/2019,"OR65, OR62, OR67 X GR05",MCR,B10,Inventory_3,4/24/2020,9,67,15.333
2019,7/3/2019,OR96 X GR08,MCR,B16,Inventory_3,4/24/2020,9,183,11.1
2019,7/3/2019,OR96 X GR08,MCR,B17,Inventory_3,4/24/2020,9,467,7.42
2019,7/3/2019,OR96 X GR08,MCR,B19,Inventory_3,4/24/2020,9,653,6.08
2019,9/10/2019,OR68 X OR45,MCR,B12,Inventory_2,4/28/2020,7,19,7.428
2019,9/10/2019,OR68 X OR57,MCR,B31,Inventory_2,4/28/2020,7,68,9.56
2019,9/10/2019,OR68 X OR57,MCR,B32,Inventory_2,4/28/2020,7,234,5.073
2019,9/10/2019,GR14 X OR57,MCR,D06,Inventory_2,4/28/2020,7,78,6.953
2019,9/10/2019,GR14 X OR57,MCR,D12,Inventory_2,4/28/2020,7,85,6.547
2019,9/10/2019,GR14 X OR45,MCR,D18,Inventory_2,4/28/2020,7,1073,4.827
2019,9/10/2019,OR68 X OR57,MCR,B23,Inventory_2,5/2/2020,7,227,10.813
2019,9/10/2019,GR14 X OR45,MCR,B26,Inventory_2,5/2/2020,7,330,7.787
2019,9/10/2019,GR14 X OR57,MCR,C39,Inventory_3,5/13/2020,8,97,8.26
2019,8/21/2019,OR94 X GR12,MCR,B38,Inventory_3,5/12/2020,8,123,10.067
2019,8/21/2019,OR94 X GR12,MCR,B35,Inventory_3,5/12/2020,8,62,13.88
2019,9/10/2019,OR68 X OR57,MCR,B31,Inventory_3,5/2/2020,7,219,12.32
2019,9/10/2019,GR14 X OR45,MCR,D18,Inventory_3,5/2/2020,7,1073,12.32
2019,9/10/2019,OR68 X OR57,MCR,B23,Inventory_3,5/2/2020,7,227,10.813
